1,1550
1,1691
1,1259
1,5365
1,2558
1,2894
1,1835
1,4883
1,1739
1,3222
1,4428
1,3510
2,2979
2,2701
2,891
2,1095
2,929
3,4255
3,5021
3,1959
3,4067
3,1
4,1363
4,633
4,1
5,5116
5,64
5,2447
5,1
6,3189
6,201
6,1460
6,2599
6,3312
6,4357
7,4152
7,1642
7,3882
7,3310
7,4540
7,44
7,2428
8,478
8,4079
8,3090
9,607
9,772
9,1073
9,1279
10,1092
10,2708
10,3840
10,2927
10,1041
10,3087
10,299
10,2
10,1348
10,1198
10,2479
10,3592
10,107
10,225
10,4403
10,1912
10,3882
10,3572
10,2176
10,237
10,1404
10,542
10,3213
10,1413
10,146
10,17
10,2345
10,4686
11,253
11,1117
11,2
12,1377
12,1111
12,3640
12,2
13,1194
13,4266
13,2
13,2423
13,4298
13,3804
13,1522
13,2427
13,3247
13,2198
13,3575
13,1636
14,3619
14,319
14,2299
15,5102
15,2
15,2670
16,1194
16,3281
16,277
16,1716
16,2088
16,180
17,2219
17,366
17,110
17,250
18,4403
18,2
18,5320
18,3492
19,3
19,3914
19,2729
19,2070
20,5179
20,4527
20,4894
20,2841
20,4994
20,5178
20,5065
20,2177
20,1887
20,5674
20,1872
20,1986
20,4795
20,5662
20,688
20,3
21,3098
21,2473
21,1252
21,3
22,2176
22,2157
22,2224
22,3
22,1881
23,4282
23,4025
23,1527
23,4898
23,5056
23,4026
23,3340
23,4530
23,5722
23,1204
23,5660
23,5773
23,4523
23,2749
23,4384
23,5103
24,3138
24,4883
24,2882
25,3
25,2875
25,5416
25,929
25,24
25,2024
26,1859
26,4077
26,4234
26,4114
26,5729
26,5638
26,5663
26,5629
26,5702
26,5551
27,296
27,4310
27,2202
27,3914
27,4156
27,1062
27,3
28,3090
28,4
28,1900
28,2919
29,1084
29,4
29,62
29,2472
30,5515
30,4960
30,5519
30,4219
30,4147
30,4
30,5077
30,5674
30,4992
30,5311
30,5650
30,5518
30,5651
30,5481
30,4903
30,5593
30,5113
30,5507
30,5433
30,5587
30,5709
30,4894
30,3268
30,5066
30,4895
30,5597
30,1954
30,5575
30,5185
30,5749
30,5131
30,4989
30,4988
30,5625
30,5047
30,5425
30,4858
30,4973
30,4893
30,5488
30,5134
30,5548
30,4024
31,1268
31,5691
31,4896
31,5603
31,4897
31,5642
31,5395
32,2676
32,3010
32,1063
32,4
33,193
33,2309
33,4
33,27
33,254
34,2527
34,4
34,4839
34,3249
34,2515
35,971
35,2432
35,2530
35,1777
35,1229
35,2009
35,151
35,1303
35,1759
35,3402
36,4
36,1521
36,2282
36,3474
36,1028
36,1358
36,4181
36,3470
36,341
36,821
36,147
36,1145
37,5481
37,4
37,5635
37,362
37,5413
37,2764
37,4990
37,4462
37,3196
37,4988
37,35
37,1702
37,4698
37,5001
37,4998
37,5625
37,2368
37,5639
37,1629
37,4989
37,4991
37,3059
37,5178
37,4994
37,3513
37,271
37,5056
37,4977
37,5598
37,533
37,5069
37,365
37,5179
37,3474
37,121
37,5047
37,1689
37,4749
37,37
37,2366
37,5813
37,5245
37,3700
37,5048
37,107
37,4402
38,3204
38,5
38,1626
38,5354
38,2421
38,3293
38,1739
38,706
38,2022
39,1764
39,815
39,1164
39,3574
39,2186
39,706
40,880
40,914
40,4856
41,2364
41,2097
41,4076
41,5
42,5
42,3883
42,1345
